iter	RMSE
0	1.611179906
1	0.8541497063
2	0.5831634309
3	0.4782821394
4	0.4268706679
5	0.3991515287
6	0.3554609482
7	0.3339823939
8	0.3126897093
9	0.2881104116
10	0.2624970154
11	0.2482915744
12	0.2339166263
13	0.2203257014
14	0.2124709052
15	0.1982277737
16	0.1906223205
17	0.1819653796
18	0.1708903262
19	0.1660974815
20	0.1582131824
21	0.1524901171
22	0.1459547828
23	0.1412006542
24	0.1365405132
25	0.1337160722
26	0.1286497305
27	0.1238904286
28	0.1211736796
29	0.119428508
30	0.1133119451
31	0.1085836771
32	0.1044074693
33	0.1010190456
34	0.09764158186
35	0.09490891529
36	0.09331873627
37	0.09067555285
38	0.08900561896
39	0.08733199507
40	0.08496768893
41	0.08304062114
42	0.08148062725
43	0.08042508464
44	0.07843006486
45	0.07636659775
46	0.07512350009
47	0.07386653876
48	0.0730335787
49	0.0720476412
50	0.07141211498
51	0.0682873607
52	0.0666747385
53	0.06562476458
54	0.06408037659
55	0.06222034685
56	0.06086439915
57	0.05942783869
58	0.05780864682
59	0.05693841492
60	0.05654158936
61	0.05577147013
62	0.05489117313
63	0.05415485349
64	0.05289819014
65	0.05218606369
66	0.05150674263
67	0.05074066299
68	0.05003045735
69	0.04942515222
70	0.04866267513
71	0.04818455859
72	0.04756059648
73	0.04673456041
74	0.04628476999
75	0.04576885883
76	0.04526495146
77	0.04448282475
78	0.04387793822
79	0.04299860819
80	0.04268396771
81	0.04224623554
82	0.04190153335
83	0.04148285367
84	0.04065267997
85	0.04031151238
86	0.03966410468
87	0.03911094203
88	0.03866349043
89	0.03822832167
90	0.03785412513
91	0.03735672822
92	0.03689367015
93	0.03666425527
94	0.03578682168
95	0.03543744066
96	0.0350739185
97	0.03479393386
98	0.03431275091
99	0.03401320268
100	0.03371077283
101	0.03354224119
102	0.03324386909
103	0.03294486198
104	0.03271398621
105	0.03222387675
106	0.03203640924
107	0.03172749486
108	0.03153538797
109	0.03132187521
110	0.03092156167
111	0.03064725374
112	0.03012406789
113	0.02994917677
114	0.02951362427
115	0.02922273811
116	0.0287096075
117	0.02845848232
118	0.02829297847
119	0.02806183056
120	0.02787332023
121	0.0276858062
122	0.02751969097
123	0.02717794485
124	0.02691617252
125	0.02658387727
126	0.02634356167
127	0.02604943077
128	0.02574709846
129	0.02549273706
130	0.02512007656
131	0.0249281921
132	0.02481636875
133	0.02466410818
134	0.02438368287
135	0.02429244436
136	0.02418142715
137	0.02408784717
138	0.02391334146
139	0.02371893956
140	0.02357344785
141	0.02330072663
142	0.02309792644
143	0.02294143674
144	0.02273586258
145	0.02243661768
146	0.02225308076
147	0.02220733157
148	0.02209713577
149	0.02197594765
150	0.02183671758
151	0.02152495123
152	0.02144882487
153	0.02129548031
154	0.02100697308
155	0.02073382946
156	0.02061907475
157	0.02036409498
158	0.02017332775
159	0.01991246935
160	0.01974914134
161	0.01957512008
162	0.01947347536
163	0.0191724676
164	0.01907060024
165	0.01894447351
166	0.01876465318
167	0.01864086973
168	0.01851095227
169	0.01843927259
170	0.01837553909
171	0.01829353199
172	0.01818633648
173	0.01799048435
174	0.01775087955
175	0.0176166711
176	0.0175455889
177	0.01743885974
178	0.01734766867
179	0.01721444769
180	0.01712886757
181	0.01702709962
182	0.01691329891
183	0.01682029416
184	0.01676550349
185	0.01668518312
186	0.01659491198
187	0.01644890716
188	0.01634181858
189	0.01615170894
190	0.01607618671
191	0.01592396433
192	0.01587522356
193	0.01578833018
194	0.01568505737
195	0.01562603982
196	0.01555487125
197	0.01550336047
198	0.01538881898
199	0.01531572389
200	0.01526512588
201	0.01516673183
202	0.01511004519
203	0.01504902037
204	0.01500032777
205	0.01490861454
206	0.01487583308
207	0.01480275576
208	0.01474830292
209	0.01462633622
210	0.01456342927
211	0.0144167198
212	0.01434017314
213	0.01429060247
214	0.01413274366
215	0.01404546732
216	0.01397495247
217	0.01390391903
218	0.01379079403
219	0.01373386368
220	0.01363710357
221	0.01352087893
222	0.01345255534
223	0.01340496047
224	0.01329398014
225	0.01326163317
226	0.01317405126
227	0.01312388726
228	0.01303321508
229	0.01295366389
230	0.0129231637
231	0.01285853727
232	0.01277896601
233	0.0127378272
234	0.01267649506
235	0.01263627871
236	0.01250965568
237	0.01238752017
238	0.01236369988
239	0.01230390824
240	0.01219186669
241	0.01208947951
242	0.01205125824
243	0.0120054307
244	0.01195394015
245	0.01190282515
246	0.01185444195
247	0.01178771068
248	0.01175808218
249	0.01166999364
250	0.01161852255
251	0.01158027046
252	0.01152921523
253	0.01148162202
254	0.01143592955
255	0.01141427067
