iter	Passed	Remaining
0	160	40940
1	161	20492
2	161	13657
3	162	10255
4	163	8202
5	164	6835
6	164	5865
7	165	5140
8	171	4710
9	173	4265
10	175	3917
11	176	3588
12	177	3309
13	177	3070
14	178	2866
15	179	2686
16	179	2527
17	180	2385
18	181	2258
19	181	2143
20	182	2039
21	182	1945
22	183	1861
23	184	1783
24	185	1710
25	185	1642
26	186	1581
27	187	1523
28	187	1468
29	188	1417
30	188	1369
31	189	1325
32	190	1286
33	191	1248
34	191	1211
35	192	1176
36	193	1143
37	193	1111
38	194	1081
39	196	1062
40	197	1035
41	199	1014
42	199	989
43	200	966
44	201	943
45	201	921
46	202	900
47	203	880
48	203	861
49	204	842
50	206	830
51	207	813
52	208	797
53	209	781
54	210	768
55	211	755
56	214	747
57	214	733
58	215	719
59	216	705
60	216	692
61	217	679
62	217	667
63	218	655
64	219	644
65	219	632
66	220	621
67	221	611
68	222	601
69	222	591
70	223	582
71	224	572
72	224	563
73	225	554
74	226	546
75	227	538
76	227	529
77	228	521
78	229	513
79	230	506
80	230	498
81	231	491
82	232	484
83	233	478
84	234	470
85	234	463
86	235	458
87	236	451
88	238	446
89	238	440
90	239	434
91	240	428
92	241	422
93	241	416
94	242	410
95	243	405
96	243	399
97	244	393
98	245	389
99	245	383
100	246	378
101	247	373
102	247	368
103	248	363
104	249	358
105	250	353
106	251	349
107	251	345
108	252	340
109	253	335
110	253	331
111	254	327
112	255	322
113	255	318
114	256	314
115	257	310
116	257	306
117	258	302
118	259	298
119	260	294
120	260	290
121	261	287
122	262	283
123	262	279
124	263	275
125	263	271
126	264	268
127	264	264
128	265	261
129	266	258
130	267	254
131	267	251
132	268	248
133	268	244
134	269	241
135	270	238
136	270	235
137	271	232
138	272	229
139	272	226
140	273	223
141	273	219
142	274	216
143	275	213
144	275	210
145	276	207
146	276	205
147	277	202
148	277	199
149	278	196
150	278	193
151	279	190
152	279	188
153	280	185
154	281	183
155	281	180
156	282	178
157	283	175
158	283	173
159	284	170
160	284	167
161	285	165
162	286	163
163	286	160
164	287	158
165	288	156
166	288	153
167	289	151
168	289	149
169	291	147
170	294	146
171	295	144
172	296	142
173	297	140
174	297	137
175	298	135
176	299	133
177	300	131
178	305	131
179	305	129
180	306	126
181	306	124
182	308	123
183	309	121
184	311	119
185	312	117
186	313	115
187	315	114
188	316	112
189	317	110
190	318	108
191	322	107
192	323	105
193	324	103
194	325	101
195	326	99
196	326	97
197	327	95
198	328	94
199	329	92
200	329	90
201	330	88
202	331	86
203	332	84
204	332	82
205	333	80
206	334	79
207	334	77
208	335	75
209	336	73
210	336	71
211	337	69
212	337	68
213	338	66
214	339	64
215	339	62
216	340	61
217	342	59
218	342	57
219	343	56
220	343	54
221	344	52
222	345	51
223	346	49
224	347	47
225	348	46
226	349	44
227	349	42
228	350	41
229	351	39
230	351	38
231	352	36
232	353	34
233	353	33
234	354	31
235	354	30
236	355	28
237	356	26
238	356	25
239	357	23
240	358	22
241	359	20
242	359	19
243	360	17
244	361	16
245	361	14
246	362	13
247	363	11
248	364	10
249	366	8
250	375	7
251	377	5
252	379	4
253	382	3
254	383	1
255	384	0
