Re,Gr,Ha,Rm,Navg,avgA
10,100,1,10,1.06191772372934,-0.509284178384731
35,100,1,10,1.49605881802424,-0.509391073796483
60,100,1,10,1.90904359694482,-0.509369874119862
85,100,1,10,2.251128903951,-0.509279097226133
125,100,1,10,2.73993583243455,-0.509062523223682
250,100,1,10,4.06107665902926,-0.507546068578357
375,100,1,10,5.16636785398643,-0.50560898186865
500,100,1,10,6.13610854948299,-0.503942843099367
550,100,1,10,6.49773999123351,-0.503365953290565
600,100,1,10,6.84760561660485,-0.502834889539334
700,100,1,10,7.51800968238345,-0.501891170131165
800,100,1,10,8.15634428701827,-0.501075974562211
900,100,1,10,8.7681393182197,-0.500360712733596
1000,100,1,10,9.35574706864958,-0.499726027334179
10,350,1,10,1.05425672513071,-0.509159324397055
35,350,1,10,1.45818020381904,-0.509308913288101
60,350,1,10,1.86825063169515,-0.509320279650798
85,350,1,10,2.21542498610033,-0.509248783187288
125,350,1,10,2.71303172729751,-0.50905487672514
250,350,1,10,4.04887247673908,-0.50756015730415
375,350,1,10,5.15936422379266,-0.505618825711042
500,350,1,10,6.13143134371808,-0.503948934868967
550,350,1,10,6.49364955258361,-0.503370978718092
600,350,1,10,6.84393731128192,-0.502839181850685
700,350,1,10,7.51499888630542,-0.501894265806862
800,350,1,10,8.15372151862007,-0.50107841427041
900,350,1,10,8.76576261177978,-0.500362748553083
1000,350,1,10,9.35363480560265,-0.499727621470111
10,600,1,10,1.04815836273023,-0.509030281050342
35,600,1,10,1.4240954903859,-0.509221690697861
60,600,1,10,1.82860829256346,-0.509269103754315
85,600,1,10,2.17953447750113,-0.509217943456321
125,600,1,10,2.68558974527641,-0.509047033356897
250,600,1,10,4.03650613078007,-0.507574475930068
375,600,1,10,5.1523068274841,-0.505628781611975
500,600,1,10,6.12673156636141,-0.503955077192437
550,600,1,10,6.48950624348368,-0.503376151017793
600,600,1,10,6.84029479682614,-0.502843392506656
700,600,1,10,7.51193766717679,-0.501897490230925
800,600,1,10,8.15109391812844,-0.501080866149413
900,600,1,10,8.76343343514148,-0.500364691205584
1000,600,1,10,9.35146569364806,-0.499729317169777
10,850,1,10,1.04322807518982,-0.508899228214844
35,850,1,10,1.39365561591189,-0.5091299210281
60,850,1,10,1.79044326676257,-0.509216151912269
85,850,1,10,2.14366253049405,-0.50918649865682
125,850,1,10,2.65761541859198,-0.509038965375984
250,850,1,10,4.02399399000263,-0.507588973229572
375,850,1,10,5.14519504073239,-0.505638850825581
500,850,1,10,6.12200905121799,-0.503961270433998
550,850,1,10,6.48538232611662,-0.50338125213656
600,850,1,10,6.83660120505911,-0.502847742808
700,850,1,10,7.50891169190709,-0.50190062177979
800,850,1,10,8.14846146969644,-0.501083330226867
900,850,1,10,8.76110103919937,-0.500366642293391
1000,850,1,10,9.34934893296685,-0.49973092378616
10,1500,1,10,1.03408835117618,-0.508556233263832
35,1500,1,10,1.32960740086102,-0.508874805899404
60,1500,1,10,1.6998675140378,-0.509068889891369
85,1500,1,10,2.05197427582903,-0.50910104521627
125,1500,1,10,2.58276497705439,-0.509016665346052
250,1500,1,10,3.99067675412117,-0.507627753857001
375,1500,1,10,5.12646694615917,-0.505665498056564
500,1500,1,10,6.10962289968362,-0.503977613829494
550,1500,1,10,6.47454457521618,-0.50339480414327
600,1500,1,10,6.82696108736345,-0.502859124316644
700,1500,1,10,7.5009482668428,-0.50190900484644
800,1500,1,10,8.14160377366316,-0.501089772215086
900,1500,1,10,8.75498101550693,-0.500371837551637
1000,1500,1,10,9.34379107080711,-0.499735206902325
10,2000,1,10,1.02936874346054,-0.508295503983524
35,2000,1,10,1.29233987328522,-0.508667895115959
60,2000,1,10,1.63974774103168,-0.508945191882343
85,2000,1,10,1.98477363730817,-0.509030448964678
125,2000,1,10,2.5235628353243,-0.508997766837218
250,2000,1,10,3.96425695773284,-0.507658658291928
375,2000,1,10,5.11183805050667,-0.505686411389511
500,2000,1,10,6.10002199324169,-0.503990317053513
550,2000,1,10,6.46612053362079,-0.503405433168395
600,2000,1,10,6.81946842688064,-0.502868067519148
700,2000,1,10,7.49483336330158,-0.50191541612295
800,2000,1,10,8.13629883973596,-0.501094800889359
900,2000,1,10,8.7502896773531,-0.500375809731434
1000,2000,1,10,9.33948432239312,-0.499738568118114
10,3000,1,10,1.02319831834383,-0.507791907511985
35,3000,1,10,1.23919151609706,-0.508243140822885
60,3000,1,10,1.54376383035866,-0.508671052363773
85,3000,1,10,1.86446002999431,-0.508871721348875
125,3000,1,10,2.40357952366037,-0.508952951074949
250,3000,1,10,3.90929945645051,-0.507723217456132
375,3000,1,10,5.08187909166776,-0.505729691378093
500,3000,1,10,6.08053490392789,-0.504016358696206
550,3000,1,10,6.44913586232659,-0.503426940650084
600,3000,1,10,6.80440315648814,-0.502886087210852
700,3000,1,10,7.48246711568692,-0.501928571374874
800,3000,1,10,8.12567719151321,-0.501104894907381
900,3000,1,10,8.74086787376089,-0.500383856382199
1000,3000,1,10,9.33089817813246,-0.499745269512239
10,4000,1,10,1.01940254650767,-0.507315898334459
35,4000,1,10,1.20414743277314,-0.507817598690759
60,4000,1,10,1.47416292937733,-0.508368209748699
85,4000,1,10,1.76636971765453,-0.508685424708005
125,4000,1,10,2.28664116853189,-0.508893981489665
250,4000,1,10,3.85133622711902,-0.507791619466431
375,4000,1,10,5.0509759857583,-0.505774889417169
500,4000,1,10,6.06069235505583,-0.50404315678788
550,4000,1,10,6.43186637797713,-0.503449088768325
600,4000,1,10,6.78912481567822,-0.502904591783978
700,4000,1,10,7.46997461505326,-0.501942023704237
800,4000,1,10,8.11497600851682,-0.501115185588634
900,4000,1,10,8.73134242622102,-0.500392147395516
1000,4000,1,10,9.32227542534456,-0.499752072229144
10,5000,1,10,1.01685157077943,-0.506867334175098
35,5000,1,10,1.1797141616388,-0.507400824368148
60,5000,1,10,1.42317109384885,-0.508047264630832
85,5000,1,10,1.68924234367119,-0.508472241095553
125,5000,1,10,2.17874263765811,-0.508815301014875
250,5000,1,10,3.7902309892926,-0.507863834011536
375,5000,1,10,5.01913817277749,-0.505821907804259
500,5000,1,10,6.04048302451886,-0.504070733089363
550,5000,1,10,6.41434166754568,-0.503471777486618
600,5000,1,10,6.77366784510031,-0.502923473575121
700,5000,1,10,7.45739723988547,-0.501955659406643
800,5000,1,10,8.10424204657144,-0.501125559778381
900,5000,1,10,8.72181498512025,-0.500400470754705
1000,5000,1,10,9.31361583406658,-0.499758976795228
10,6000,1,10,1.01502062403525,-0.506444542958201
35,6000,1,10,1.16179305705881,-0.506997593302676
60,6000,1,10,1.38482964734978,-0.507717585161315
85,6000,1,10,1.62904796386664,-0.508236940136819
125,6000,1,10,2.08372734715063,-0.508713436027022
250,6000,1,10,3.72589958318829,-0.50793968573881
375,6000,1,10,4.98629222164963,-0.505870924768176
500,6000,1,10,6.01989520542305,-0.504099110222962
550,6000,1,10,6.39655472576208,-0.503495018670631
600,6000,1,10,6.75802795658571,-0.502942738123327
700,6000,1,10,7.44473330819664,-0.50196947801488
800,6000,1,10,8.09342688394424,-0.501136131299157
900,6000,1,10,8.71228538818647,-0.500408822979098
1000,6000,1,10,9.30491916561357,-0.499765983738891
10,7000,1,10,1.01363883256793,-0.506045563491577
35,7000,1,10,1.14807540242232,-0.506610304940116
60,7000,1,10,1.35511746951894,-0.507385687625412
85,7000,1,10,1.58165253209795,-0.507985617298487
125,7000,1,10,2.00265585544541,-0.508587854732638
250,7000,1,10,3.65830136130989,-0.508018890472054
375,7000,1,10,4.95239062525101,-0.50592202867675
500,7000,1,10,5.9989168091558,-0.504128311649913
550,7000,1,10,6.37849833039645,-0.503518824669401
600,7000,1,10,6.74216153817165,-0.502962511652751
700,7000,1,10,7.43193756851326,-0.501983599854961
800,7000,1,10,8.08252957108513,-0.501146901979917
900,7000,1,10,8.70265061239578,-0.500417423855033
1000,7000,1,10,9.29624026651159,-0.499772989343424
10,8000,1,10,1.01255445357772,-0.505668478544856
35,8000,1,10,1.137199031999,-0.506239468575227
60,8000,1,10,1.33142052000318,-0.507056382374996
85,8000,1,10,1.54370686572519,-0.507723862348826
125,8000,1,10,1.93461733417235,-0.508440505785609
250,8000,1,10,3.5874940719417,-0.508100931909304
375,8000,1,10,4.91738504398161,-0.50597530814413
500,8000,1,10,5.97753537657195,-0.504158361656138
550,8000,1,10,6.36012793636124,-0.503543328277484
600,8000,1,10,6.726103053214,-0.502982682657527
700,8000,1,10,7.419007983738,-0.501998029013191
800,8000,1,10,8.07154912707068,-0.501157873664322
900,8000,1,10,8.69301292424632,-0.50042605244849
