Re,Gr,Ha,Rm,Navg,avgA
10,100,1,10,1.06191772372934,-0.509284178384731
30,100,1,10,1.40261946407582,-0.509381225900258
50,100,1,10,1.75507257259471,-0.509390232141462
70,100,1,10,2.05162545736504,-0.509338784367076
90,100,1,10,2.31497776559627,-0.509256664869789
200,100,1,10,3.56454784279076,-0.508286327582334
300,100,1,10,4.52363261261557,-0.506756220097113
400,100,1,10,5.36926240824105,-0.50524918385877
500,100,1,10,6.13610854948299,-0.503942843099367
600,100,1,10,6.84760561660485,-0.502834889539334
700,100,1,10,7.51800968238345,-0.501891170131165
800,100,1,10,8.15634428701827,-0.501075974562211
900,100,1,10,8.7681393182197,-0.500360712733596
1000,100,1,10,9.35574706864958,-0.499726027334179
10,300,1,10,1.05564862588125,-0.50918471252628
30,300,1,10,1.37475922711974,-0.509308619999294
50,300,1,10,1.72170660753951,-0.509342299405912
70,300,1,10,2.0203639503748,-0.509306026600108
90,300,1,10,2.28737557546309,-0.509235033063825
200,300,1,10,3.55162723501949,-0.508296221119825
300,300,1,10,4.5159940461805,-0.506766433630161
400,300,1,10,5.36414528146825,-0.505256346823249
500,300,1,10,6.13236858626052,-0.503947712483185
600,300,1,10,6.84470268499698,-0.502838232811999
700,300,1,10,7.5155930858075,-0.501893667365413
800,300,1,10,8.15422760698405,-0.501077968469174
900,300,1,10,8.76625851900807,-0.500362299907919
1000,300,1,10,9.35403560345912,-0.499727340192355
10,500,1,10,1.0504385513361,-0.509082241089331
30,500,1,10,1.34959731837286,-0.509232198474701
50,500,1,10,1.68965465825004,-0.509292664350787
70,500,1,10,1.98934695396276,-0.50927268238522
90,500,1,10,2.25955307703114,-0.509213112893537
200,500,1,10,3.53853176535854,-0.508306253186452
300,500,1,10,4.50829121520451,-0.506776763001255
400,500,1,10,5.35902815500454,-0.505263476495127
500,500,1,10,6.12861419718411,-0.503952614174145
600,500,1,10,6.84175332042506,-0.502841704817774
700,500,1,10,7.51317164271247,-0.501896176058826
800,500,1,10,8.15215496513602,-0.501079862325975
900,500,1,10,8.76437564842665,-0.500363892699834
1000,500,1,10,9.35232269257168,-0.499728657150146
10,700,1,10,1.04606380519213,-0.508977994811635
30,700,1,10,1.32696004946667,-0.509152463377668
50,700,1,10,1.65907236186404,-0.509241255565017
70,700,1,10,1.95873515074113,-0.509238680910451
90,700,1,10,2.23160098931735,-0.509190878657797
200,700,1,10,3.52527491047358,-0.508316390835619
300,700,1,10,4.5005457927825,-0.506787138263052
400,700,1,10,5.35385397396992,-0.505270761172795
500,700,1,10,6.12484529839064,-0.503957548358431
600,700,1,10,6.83879583241199,-0.502845195654149
700,700,1,10,7.51074533744756,-0.501898696242605
800,700,1,10,8.15003208650807,-0.501081871994325
900,700,1,10,8.76249070243233,-0.500365491120578
1000,700,1,10,9.3506083326295,-0.499729978215992
10,900,1,10,1.04235604840339,-0.508872929662505
30,900,1,10,1.30664191374985,-0.509069942711066
50,900,1,10,1.63007520913732,-0.509188026743543
70,900,1,10,1.92867581523361,-0.509203934615785
90,900,1,10,2.20359768510435,-0.509168282871189
200,900,1,10,3.51182237109305,-0.508326698691482
300,900,1,10,4.49271206829242,-0.506797703007154
400,900,1,10,5.34865089075509,-0.505278107576506
500,900,1,10,6.12106180552831,-0.503962515226402
600,900,1,10,6.8358686439008,-0.50284859415576
700,900,1,10,7.50831415654785,-0.501901227943826
